T1,T2,S1,S2,Draw,ELO1,ELO2,Prob1,Prob2
Moldova,Liechtenstein,0,1,0,1326,1166,0.715252751,0.284747249
Macedonia,Slovakia,0,2,0,1407,1735,0.131459,0.868541
Belarus,Spain,0,3,0,1559,1918,0.1123887401,0.8876112599
Switzerland,Lithuania,4,0,0,1776,1417,0.8876112599,0.1123887401
Sweden,Montenegro,1,1,1,1710,1527,0.741433523,0.258566477
Iceland,Czech Republic,1,2,0,1728,#N/A,#N/A,#N/A
Netherlands,Latvia,6,0,0,1903,1456,0.9291127058,0.0708872942
Cyprus,Andorra,5,0,0,1393,939,0.9317211857,0.0682788143
Belgium,Wales,0,0,1,1924,1725,0.7586946201,0.2413053799
Norway,Azerbaijan,1,0,0,1610,1368,0.8010809398,0.1989190602
Kazakhstan,Turkey,1,3,0,1395,1790,0.0933159683,0.9066840317
Israel,Bosnia & Herzegovina,3,0,0,1546,#N/A,#N/A,#N/A
Bulgaria,Malta,1,1,1,1561,1205,0.8858769426,0.1141230574
Croatia,Italy,1,1,1,1826,1919,0.3692697114,0.6307302886
Ukraine,Lithuania,0,0,1,1714,1417,0.8467934031,0.1532065969
Slovakia,Finland,2,1,0,1735,1550,0.743634522,0.256365478
Belarus,Mexico,3,2,0,1559,1888,0.1308031345,0.8691968655
Greece,Serbia,0,2,0,1592,1710,0.336425902,0.663574098
Colombia,Slovenia,1,0,0,1933,1588,0.8793171535,0.1206828465
Austria,Brazil,1,2,0,1688,1953,0.1786585283,0.8213414717
Estonia,Jordan,1,0,0,1444,1521,0.3909673966,0.6090326034
Romania,Denmark,2,0,0,1689,1722,0.452651482,0.547348518
Russia,Hungary,2,1,0,1670,1695,0.4640840731,0.5359159269
Switzerland,Poland,2,2,1,1776,1794,0.4741190691,0.5258809309
Spain,Germany,0,1,0,1918,2033,0.3402920059,0.6597079941
Argentina,Portugal,0,1,0,2092,1874,0.7781484542,0.2218515458
United States,Rep. of Ireland,1,4,0,1747,#N/A,#N/A,#N/A
Italy,Albania,1,0,0,1919,1602,0.8611409357,0.1388590643
Scotland,England,1,3,0,1686,1889,0.2371150197,0.7628849803
Sweden,France,0,1,0,1710,1953,0.1980033559,0.8019966441
Qatar,Estonia,3,0,0,1513,1444,0.5980137658,0.4019862342
Norway,South Africa,1,0,0,1610,1601,0.5129491449,0.4870508551
Zambia,Norway,0,0,1,1446,1610,0.2800809941,0.7199190059
North Korea,Sweden,1,1,1,1494,1710,0.2238454247,0.7761545753
Thailand,Finland,1,3,0,1430,1550,0.3338605754,0.6661394246
Finland,Sweden,0,3,0,1550,1710,0.284747249,0.715252751
Uzbekistan,Azerbaijan,0,0,1,1638,1368,0.8255259874,0.1744740126
Poland,Romania*,4,1,0,1794,1689,0.6466688423,0.3533311577
Armenia,Luxembourg,1,1,1,1499,1213,0.8383969074,0.1616030926
Japan,Latvia,3,0,0,1739,1456,0.8360434255,0.1639565745
Croatia,South Korea,4,0,0,1826,1785,0.5587313693,0.4412686307
Liechtenstein,Azerbaijan,0,1,0,1166,1368,0.2381578901,0.7618421099
Moldova,Kazakhstan,1,3,0,1326,1395,0.4019862342,0.5980137658
Cyprus,Serbia,1,3,0,1393,1710,0.1388590643,0.8611409357
Hungary,Belarus,1,1,1,1695,1559,0.6863002577,0.3136997423
Bosnia & Herzegovina,Slovenia,3,0,0,#N/A,1588,#N/A,#N/A
Ukraine,Norway,2,0,0,1714,1610,0.6453524504,0.3546475496
Israel,Finland,2,1,0,1546,1550,0.4942437916,0.5057562084
Albania,Georgia,1,2,0,1602,1461,0.6924633926,0.3075366074
Uruguay,Spain,1,3,0,1877,1918,0.4412686307,0.5587313693
Czech Republic,Turkey,2,0,0,#N/A,1790,#N/A,#N/A
Macedonia,Denmark,3,0,0,1407,1722,0.1402414805,0.8597585195
North. Ireland,Malta,0,0,1,#N/A,1205,#N/A,#N/A
England,Brazil,2,1,0,1889,1953,0.4089244037,0.5910755963
Italy,Netherlands,1,1,1,1919,1903,0.5230095873,0.4769904127
Switzerland,Greece,0,0,1,1776,1592,0.7425355589,0.2574644411
Argentina,Sweden,3,2,0,2092,1710,0.9001568673,0.0998431327
Iceland,Russia,0,2,0,1728,1670,0.582701885,0.417298115
Slovakia,Belgium,1,2,0,1735,1924,0.2520004588,0.7479995412
Austria,Wales,1,2,0,1688,1725,0.4469531048,0.5530468952
Estonia,Scotland,0,1,0,1444,1686,0.1989190602,0.8010809398
Poland,Rep. of Ireland,0,2,0,1794,#N/A,#N/A,#N/A
Australia,Romania,2,3,0,1692,1689,0.5043172398,0.4956827602
Germany,France,2,1,0,2033,1953,0.6131368202,0.3868631798
Ecuador,Portugal,3,2,0,1839,1874,0.4498006467,0.5501993533
Thailand*,Faroe Islands,2,0,0,1430,1203,0.7869632794,0.2130367206
Belarus,Jordan,0,1,0,1559,1521,0.554469374,0.445530626
Italy,Brazil,2,2,1,1919,1953,0.4512256641,0.5487743359
Portugal,Israel,3,3,1,1874,1546,0.868541,0.131459
Malta,Bulgaria,0,6,0,1205,1561,0.1141230574,0.8858769426
Iceland,Slovenia,2,1,0,1728,1588,0.6912361524,0.3087638476
Serbia,Croatia,0,2,0,1710,1826,0.3390009088,0.6609990912
Germany,Kazakhstan,3,0,0,2033,1395,0.9752199278,0.0247800722
Norway,Albania,0,1,0,1610,1602,0.5115108912,0.4884891088
Latvia,Liechtenstein,1,1,1,1456,1166,0.8414923669,0.1585076331
Andorra,Turkey,0,2,0,939,1790,0.0074007197,0.9925992803
Lithuania,Slovakia,1,1,1,1417,1735,0.1381721524,0.8618278476
Luxembourg,Azerbaijan,0,0,1,1213,1368,0.2906453694,0.7093546306
Faroe Islands,Austria,0,6,0,1203,1688,0.057764305,0.942235695
Moldova,Montenegro,0,1,0,1326,1527,0.239203909,0.760796091
Czech Republic,Denmark,0,3,0,#N/A,1722,#N/A,#N/A
Netherlands,Estonia,3,0,0,1903,1444,0.9335296285,0.0664703715
Hungary,Romania,2,2,1,1695,1689,0.5086338358,0.4913661642
Spain,Finland,1,1,1,1918,1550,0.89267666,0.10732334
Sweden,Rep. of Ireland,0,0,1,1710,#N/A,#N/A,#N/A
Greece,Bosnia & Herzegovina,1,3,0,1592,#N/A,#N/A,#N/A
Poland,Ukraine,1,3,0,1794,1714,0.6131368202,0.3868631798
Macedonia,Belgium,0,2,0,1407,1924,0.0485177541,0.9514822459
England,San Marino,8,0,0,1889,861,0.9973156901,0.0026843099
Georgia,France,1,3,0,1461,1953,0.0556098168,0.9443901832
Scotland,Wales,1,2,0,1686,1725,0.4441090389,0.5558909611
Cyprus,Switzerland,0,0,1,1393,1776,0.099326964,0.900673036
Brazil,Russia,1,1,1,1953,1670,0.8360434255,0.1639565745
Belarus,Canada,2,0,0,1559,1501,0.582701885,0.417298115
Armenia,Czech Republic,0,3,0,1499,#N/A,#N/A,#N/A
Azerbaijan,Portugal,0,2,0,1368,1874,0.0515258876,0.9484741124
Andorra,Estonia,0,2,0,939,1444,0.0518079389,0.9481920611
Hungary,Turkey,1,1,1,1695,1790,0.3665922999,0.6334077001
Luxembourg,Finland,0,3,0,1213,1550,0.1256557732,0.8743442268
Moldova,Ukraine,1,2,0,1326,1714,0.0967815957,0.9032184043
Albania,Lithuania,4,1,0,1602,1417,0.743634522,0.256365478
Serbia,Scotland,2,0,0,1710,1686,0.5344839447,0.4655160553
Romania,Netherlands,0,4,0,1689,1903,0.2258520223,0.7741479777
Bulgaria,Denmark,1,1,1,1561,1722,0.2835763059,0.7164236941
Sweden,Slovakia,0,0,1,1710,1735,0.4640840731,0.5359159269
England,Montenegro,1,1,1,1889,1527,0.8893225137,0.1106774863
Spain,France,1,0,0,1918,1953,0.4498006467,0.5501993533
Rep. of Ireland,Austria,2,2,1,#N/A,1688,#N/A,#N/A
Poland,San Marino,5,0,0,1794,861,0.9953710233,0.0046289767
Belgium,Macedonia,1,0,0,1924,1407,0.9514822459,0.0485177541
Croatia,Wales,2,1,0,1826,1725,0.641390112,0.358609888
North. Ireland,Israel,0,2,0,#N/A,1546,#N/A,#N/A
Italy,Malta,2,0,0,1919,1205,0.9838589113,0.0161410887
Germany,Kazakhstan,4,1,0,2033,1395,0.9752199278,0.0247800722
Qatar,Latvia,3,1,0,1513,1456,0.5813014784,0.4186985216
Latvia,Turkey,3,3,1,1456,1790,0.1275653964,0.8724346036
Azerbaijan,Qatar,1,1,1,1368,1513,0.3026549214,0.6973450786
Ecuador,Germany,2,4,0,1839,2033,0.2466139222,0.7533860778
Rep. of Ireland,England,1,1,1,#N/A,1889,#N/A,#N/A
United States,Belgium,2,4,0,1747,1924,0.2652429107,0.7347570893
Bulgaria,Japan,2,0,0,1561,1739,0.2641225559,0.7358774441
Turkey,Slovenia,0,2,0,1790,1588,0.7618421099,0.2381578901
San Marino,Italy,0,4,0,861,1919,0.0022595273,0.9977404727
Rep. of Ireland,Georgia,4,0,0,#N/A,1461,#N/A,#N/A
Cameroon,Ukraine,0,0,1,1612,1714,0.3572869312,0.6427130688
Germany,United States,3,4,0,2033,1747,0.8383969074,0.1616030926
Brazil,England,2,2,1,1953,1889,0.5910755963,0.4089244037
Israel,Honduras,2,0,0,1546,1508,0.554469374,0.445530626
Belarus,Estonia,2,0,0,1559,1444,0.6597079941,0.3402920059
Macedonia,Sweden,0,1,0,1407,1710,0.1487792024,0.8512207976
Kazakhstan,Bulgaria,1,2,0,1395,1561,0.2777654664,0.7222345336
Trinidad & Tobago,Romania,0,4,0,#N/A,1689,#N/A,#N/A
Liechtenstein,Poland,0,2,0,1166,1794,0.0262098995,0.9737901005
Denmark,Georgia,2,1,0,1722,1461,0.8179376311,0.1820623689
Uruguay,France,1,0,0,1877,1953,0.3923389359,0.6076610641
Kuwait,Hungary,0,1,0,1466,1695,0.2111129318,0.7888870682
Indonesia,Netherlands,0,3,0,1208,1903,0.017973116,0.982026884
Luxembourg,Azerbaijan,1,1,1,1213,1368,0.2906453694,0.7093546306
Armenia,Malta,0,1,0,1499,1205,0.8445395282,0.1554604718
Belarus,Finland,0,1,0,1559,1550,0.5129491449,0.4870508551
Latvia,Bosnia & Herzegovina,0,5,0,1456,#N/A,#N/A,#N/A
Trinidad & Tobago,Estonia,0,1,0,#N/A,1444,#N/A,#N/A
Slovakia,Liechtenstein,1,1,1,1735,1166,0.9635761344,0.0364238656
Moldova,Poland,1,1,1,1326,1794,0.0633268753,0.9366731247
Croatia,Scotland,0,1,0,1826,1686,0.6912361524,0.3087638476
Norway,Albania,1,1,1,1610,1602,0.5115108912,0.4884891088
Ukraine,Montenegro,4,0,0,1714,1527,0.7458232084,0.2541767916
Czech Republic,Italy,0,0,1,#N/A,1919,#N/A,#N/A
Rep. of Ireland,Faroe Islands,3,0,0,#N/A,1203,#N/A,#N/A
Belgium,Serbia,2,1,0,1924,1710,0.7741479777,0.2258520223
Austria,Sweden,2,1,0,1688,1710,0.4683817022,0.5316182978
Slovenia,Iceland,4,2,0,1588,1728,0.3087638476,0.6912361524
Lithuania,Greece,0,1,0,1417,1592,0.2674927102,0.7325072898
Russia,Portugal,0,1,0,1670,1874,0.2360753009,0.7639246991
Cyprus,Switzerland,0,1,0,1393,1776,0.099326964,0.900673036
Spain,Haiti,2,1,0,1918,1463,0.9320864847,0.0679135153
France,Brazil,0,3,0,1953,1953,0.5,0.5
Portugal,Croatia,1,0,0,1874,1826,0.5686413919,0.4313586081
Netherlands,China,2,0,0,1903,1557,0.879926688,0.120073312
Norway,Macedonia,2,0,0,1610,1407,0.7628849803,0.2371150197
Finland,Belarus,1,1,1,1550,1559,0.4870508551,0.5129491449
Faroe Islands,Sweden,0,2,0,1203,1710,0.0512452889,0.9487547111
Estonia,Kyrgyzstan,1,1,1,1444,1205,0.7983147442,0.2016852558
Denmark,Armenia,0,4,0,1722,1499,0.7830774434,0.2169225566
Haiti,Italy,2,2,1,1463,1919,0.067550029,0.932449971
Spain,Rep. of Ireland,2,0,0,1918,#N/A,#N/A,#N/A
Moldova,Kyrgyzstan,2,1,0,1326,1205,0.6674184219,0.3325815781
Italy,Mexico,2,1,0,1919,1888,0.5444945731,0.4555054269
Uruguay,Spain,1,2,0,1877,1918,0.4412686307,0.5587313693
Italy,Japan,4,3,0,1919,1739,0.7381090325,0.2618909675
Spain,Tahiti,0,0,1,1918,1274,0.9760410337,0.0239589663
Brazil,Italy,4,2,0,1953,1919,0.5487743359,0.4512256641
Nigeria,Spain,0,3,0,1620,1918,0.152461276,0.847538724
Spain,Italy,0,0,1,1918,1919,0.4985608883,0.5014391117
Italy,Uruguay,2,2,1,1919,1877,0.5601501452,0.4398498548
Brazil,Spain,3,0,0,1953,1918,0.5501993533,0.4498006467
Kazakhstan,Georgia,1,0,0,1395,1461,0.4061446148,0.5938553852
Belarus,Montenegro,1,1,1,1559,1527,0.5459219228,0.4540780772
Estonia,Latvia,1,1,1,1444,1456,0.4827374756,0.5172625244
Slovenia,Finland,0,2,0,1588,1550,0.554469374,0.445530626
Azerbaijan,Malta,3,0,0,1368,1205,0.7187568299,0.2812431701
Andorra,Moldova,1,1,1,939,1326,0.0972859657,0.9027140343
Luxembourg,Lithuania,2,1,0,1213,1417,0.2360753009,0.7639246991
Norway,Sweden,2,4,0,1610,1710,0.3599350002,0.6400649998
Slovakia,Romania,1,1,1,1735,1689,0.5658152031,0.4341847969
Ukraine,Israel,2,0,0,1714,1546,0.7245382428,0.2754617572
Serbia,Colombia,0,1,0,1710,1933,0.2169225566,0.7830774434
Ghana,Turkey,2,2,1,1639,1790,0.2954154073,0.7045845927
Hungary,Czech Republic,1,1,1,1695,#N/A,#N/A,#N/A
Greece,Austria,2,0,0,1592,1688,0.3652566649,0.6347433351
Liechtenstein,Croatia,2,3,0,1166,1826,0.0218969986,0.9781030014
North. Ireland,Russia,1,0,0,#N/A,1670,#N/A,#N/A
United States,Bosnia & Herzegovina,4,3,0,1747,#N/A,#N/A,#N/A
Belgium,France,0,0,1,1924,1953,0.4583622973,0.5416377027
Scotland,England,2,3,0,1686,1889,0.2371150197,0.7628849803
Poland,Denmark,3,2,0,1794,1722,0.6021580932,0.3978419068
Brazil,Switzerland,0,1,0,1953,1776,0.7347570893,0.2652429107
Paraguay,Germany,3,3,1,1705,2033,0.131459,0.868541
Rep. of Ireland,Wales,0,0,1,#N/A,1725,#N/A,#N/A
Bulgaria,Macedonia,0,2,0,1561,1407,0.7081663883,0.2918336117
Armenia,Albania,0,2,0,1499,1602,0.3559661462,0.6440338538
Argentina,Italy,2,1,0,2092,1919,0.7302454133,0.2697545867
Spain,Ecuador,2,0,0,1918,1839,0.6117705008,0.3882294992
Iceland,Faroe Islands,1,0,0,1728,1203,0.9535645053,0.0464354947
Portugal,Netherlands,1,1,1,1874,1903,0.4583622973,0.5416377027
Kazakhstan,Faroe Islands,2,1,0,1395,1203,0.7512407935,0.2487592065
Luxembourg,Russia,1,4,0,1213,1670,0.0671883479,0.9328116521
Czech Republic,Armenia,1,2,0,#N/A,1499,#N/A,#N/A
Kyrgyzstan,Belarus,1,3,0,1205,1559,0.1152921835,0.8847078165
Wales,Macedonia,1,2,0,1725,1407,0.8618278476,0.1381721524
Norway,Cyprus,2,0,0,1610,1393,0.7771531053,0.2228468947
Denmark,Malta,2,1,0,1722,1205,0.9514822459,0.0485177541
Ukraine,San Marino,9,0,0,1714,861,0.9926833758,0.0073166242
Romania,Hungary,3,0,0,1689,1695,0.4913661642,0.5086338358
Turkey,Andorra,5,0,0,1790,939,0.9925992803,0.0074007197
Bosnia & Herzegovina,Slovakia,0,1,0,#N/A,1735,#N/A,#N/A
Lithuania,Latvia,1,2,0,1417,1456,0.4441090389,0.5558909611
France,Georgia,0,0,1,1953,1461,0.9443901832,0.0556098168
Switzerland,Iceland,4,4,1,1776,1728,0.5686413919,0.4313586081
Slovenia,Albania,1,0,0,1588,1602,0.479863278,0.520136722
Finland,Spain,0,2,0,1550,1918,0.10732334,0.89267666
Netherlands,Estonia,2,2,1,1903,1444,0.9335296285,0.0664703715
Serbia,Croatia,1,1,1,1710,1826,0.3390009088,0.6609990912
Italy,Bulgaria,1,0,0,1919,1561,0.8870357269,0.1129642731
Portugal,North. Ireland,4,2,0,1874,#N/A,#N/A,#N/A
Liechtenstein,Greece,0,1,0,1166,1592,0.0792739386,0.9207260614
Poland,Montenegro,1,1,1,1794,1527,0.8230246289,0.1769753711
Germany,Austria,3,0,0,2033,1688,0.8793171535,0.1206828465
Rep. of Ireland,Sweden,1,2,0,#N/A,1710,#N/A,#N/A
Scotland,Belgium,0,2,0,1686,1924,0.202613686,0.797386314
Moldova,England,0,4,0,1326,1889,0.0376556794,0.9623443206
Azerbaijan,Israel,1,1,1,1368,1546,0.2641225559,0.7358774441
Russia,Israel,3,1,0,1670,1546,0.6712405808,0.3287594192
Lithuania,Liechtenstein,2,0,0,1417,1166,0.8092079975,0.1907920025
Armenia,Denmark,0,1,0,1499,1722,0.2169225566,0.7830774434
Sweden,Kazakhstan,1,0,0,1710,1395,0.8597585195,0.1402414805
Norway,Switzerland,0,2,0,1610,1776,0.2777654664,0.7222345336
Finland,Georgia,1,0,0,1550,1461,0.6253513933,0.3746486067
Bulgaria,Malta,2,1,0,1561,1205,0.8858769426,0.1141230574
Romania,Turkey,0,2,0,1689,1790,0.358609888,0.641390112
North. Ireland,Luxembourg,2,3,0,#N/A,1213,#N/A,#N/A
Slovakia,Bosnia & Herzegovina,1,2,0,1735,#N/A,#N/A,#N/A
Hungary,Estonia,5,1,0,1695,1444,0.8092079975,0.1907920025
Andorra,Netherlands,0,2,0,939,1903,0.0038753745,0.9961246255
Wales,Serbia,0,3,0,1725,1710,0.5215733331,0.4784266669
Macedonia,Scotland,1,2,0,1407,1686,0.1671373097,0.8328626903
Italy,Czech Republic,2,1,0,1919,#N/A,#N/A,#N/A
Slovenia,Cyprus,2,0,0,1588,1393,0.7544540419,0.2455459581
Greece,Latvia,1,0,0,1592,1456,0.6863002577,0.3136997423
Poland,San Marino,5,1,0,1794,861,0.9953710233,0.0046289767
England,Ukraine,0,0,1,1889,1714,0.7325072898,0.2674927102
Rep. of Ireland,Austria,0,1,0,#N/A,1688,#N/A,#N/A
Germany,Faroe Islands,3,0,0,2033,1203,0.9916562525,0.0083437475
Albania,Iceland,1,2,0,1602,1728,0.3262238121,0.6737761879
Belarus,France,2,4,0,1559,1953,0.0938041532,0.9061958468
Chile,Spain,2,2,1,2021,1918,0.6440338538,0.3559661462
Brazil,Portugal,3,1,0,1953,1874,0.6117705008,0.3882294992
South Korea,Croatia,1,2,0,1785,1826,0.4412686307,0.5587313693
Bulgaria,Armenia,1,2,0,1561,1499,0.5882899719,0.4117100281
Latvia,Lithuania,0,2,0,1456,1417,0.5558909611,0.4441090389
Croatia,Belgium,1,2,0,1826,1924,0.3625916233,0.6374083767
Azerbaijan,North. Ireland,2,0,0,1368,#N/A,#N/A,#N/A
Moldova,San Marino,3,0,0,1326,861,0.935641006,0.064358994
Kazakhstan,Faroe Islands,1,1,1,1395,1203,0.7512407935,0.2487592065
Serbia,Japan,2,0,0,1710,1739,0.4583622973,0.5416377027
Malta,Czech Republic,1,4,0,1205,#N/A,#N/A,#N/A
Poland,Ukraine,0,1,0,1794,1714,0.6131368202,0.3868631798
Denmark,Italy,2,2,1,1722,1919,0.2434194057,0.7565805943
Albania,Switzerland,1,2,0,1602,1776,0.2686221422,0.7313778578
Russia,Luxembourg,4,0,0,1670,1213,0.9328116521,0.0671883479
Hungary,Netherlands,1,8,0,1695,1903,0.2319479968,0.7680520032
Estonia,Turkey,0,2,0,1444,1790,0.120073312,0.879926688
Romania,Andorra,4,0,0,1689,939,0.9868402735,0.0131597265
Wales,Macedonia,1,0,0,1725,1407,0.8618278476,0.1381721524
Norway,Slovenia,0,3,0,1610,1588,0.5316182978,0.4683817022
Iceland,Cyprus,2,0,0,1728,1393,0.8730738823,0.1269261177
Slovakia,Greece,0,1,0,1735,1592,0.6949097127,0.3050902873
Rep. of Ireland,Germany,0,3,0,#N/A,2033,#N/A,#N/A
Sweden,Austria,2,1,0,1710,1688,0.5316182978,0.4683817022
Montenegro,England,1,4,0,1527,1889,0.1106774863,0.8893225137
Australia,France,0,6,0,1692,1953,0.1820623689,0.8179376311
Bosnia & Herzegovina,Liechtenstein,4,1,0,#N/A,1166,#N/A,#N/A
Israel,Portugal,1,1,1,1546,1874,0.131459,0.868541
Belarus,Spain,1,2,0,1559,1918,0.1123887401,0.8876112599
Belarus,Japan,1,0,0,1559,1739,0.2618909675,0.7381090325
Cyprus,Albania,0,0,1,1393,1602,0.2309240766,0.7690759234
Israel,North. Ireland,1,1,1,1546,#N/A,#N/A,#N/A
Luxembourg,Portugal,0,3,0,1213,1874,0.0217740482,0.9782259518
Russia,Azerbaijan,1,1,1,1670,1368,0.8504903015,0.1495096985
Lithuania,Bosnia & Herzegovina,0,1,0,1417,#N/A,#N/A,#N/A
Greece,Liechtenstein,2,0,0,1592,1166,0.9207260614,0.0792739386
Switzerland,Slovenia,1,0,0,1776,1588,0.7469129214,0.2530870786
Iceland,Norway,1,1,1,1728,1610,0.663574098,0.336425902
Turkey,Netherlands,0,2,0,1790,1903,0.3428813135,0.6571186865
Hungary,Andorra,2,0,0,1695,939,0.9872813524,0.0127186476
Estonia,Romania,0,2,0,1444,1689,0.1961814806,0.8038185194
Malta,Denmark,0,6,0,1205,1722,0.0485177541,0.9514822459
Czech Republic,Bulgaria,1,0,0,#N/A,1561,#N/A,#N/A
Slovakia,Latvia,2,2,1,1735,1456,0.8328626903,0.1671373097
Serbia,Macedonia,5,1,0,1710,1407,0.8512207976,0.1487792024
Italy,Armenia,2,2,1,1919,1499,0.9181681752,0.0818318248
Sweden,Germany,3,5,0,1710,2033,0.1347802948,0.8652197052
Kazakhstan,Rep. of Ireland,1,3,0,1395,#N/A,#N/A,#N/A
Austria,Faroe Islands,3,0,0,1688,1203,0.942235695,0.057764305
Belgium,Wales,1,1,1,1924,1725,0.7586946201,0.2413053799
Scotland,Croatia,2,0,0,1686,1826,0.3087638476,0.6912361524
Moldova,Montenegro,5,2,0,1326,1527,0.239203909,0.760796091
Ukraine,San Marino,8,0,0,1714,861,0.9926833758,0.0073166242
Poland,England,0,2,0,1794,1889,0.3665922999,0.6334077001
Spain,Georgia,2,0,0,1918,1461,0.9328116521,0.0671883479
Finland,France,0,3,0,1550,1953,0.089491916,0.910508084
Belgium,Colombia,0,2,0,1924,1933,0.4870508551,0.5129491449
South Korea,Switzerland,2,1,0,1785,1776,0.5129491449,0.4870508551
Czech Republic,Canada,2,0,0,#N/A,1501,#N/A,#N/A
Albania,Belarus,0,0,1,1602,1559,0.561567939,0.438432061
Serbia,Russia,1,1,1,1710,1670,0.5573116338,0.4426883662
Azerbaijan,Estonia,1,2,0,1368,1444,0.3923389359,0.6076610641
Norway,Denmark,1,2,0,1610,1722,0.3441794941,0.6558205059
Croatia,Iceland,0,0,1,1826,1728,0.6374083767,0.3625916233
Turkey,North. Ireland,1,0,0,1790,#N/A,#N/A,#N/A
Portugal,Sweden,1,0,0,1874,1710,0.7199190059,0.2800809941
Poland,Slovakia,0,2,0,1794,1735,0.5841009588,0.4158990412
Latvia,Rep. of Ireland,0,3,0,1456,#N/A,#N/A,#N/A
Germany,Italy,1,1,1,2033,1919,0.6584145209,0.3415854791
Ukraine,France,2,0,0,1714,1953,0.2016852558,0.7983147442
Romania,Greece,1,3,0,1689,1592,0.6360768997,0.3639231003
United States,Scotland,0,0,1,1747,1686,0.5868950234,0.4131049766
Chile,England,2,0,0,2021,1889,0.6813218352,0.3186781648
Netherlands,Japan,2,2,1,1903,1739,0.7199190059,0.2800809941
Wales,Finland,1,1,1,1725,1550,0.7325072898,0.2674927102
Spain,Equatorial Guinea,2,1,0,1918,1334,0.9664882895,0.0335117105
Montenegro,Luxembourg,4,1,0,1527,1213,0.8590630024,0.1409369976
Moldova,Lithuania,1,1,1,1326,1417,0.3719551944,0.6280448056
Nigeria,Italy,2,2,1,1620,1919,0.1517189313,0.8482810687
Argentina,Bosnia & Herzegovina,2,0,0,2092,#N/A,#N/A,#N/A
Estonia,Liechtenstein,3,0,0,1444,1166,0.8320598405,0.1679401595
Russia,South Korea,2,1,0,1670,1785,0.3402920059,0.6597079941
Azerbaijan,Kyrgyzstan,0,0,1,1368,1205,0.7187568299,0.2812431701
Canada,Slovenia,0,1,0,1501,1588,0.3773498042,0.6226501958
Norway,Scotland,0,1,0,1610,1686,0.3923389359,0.6076610641
Malta,Faroe Islands,3,2,0,1205,1203,0.5028781996,0.4971218004
Belarus,Turkey,1,2,0,1559,1790,0.2092018972,0.7907981028
Slovakia,Gibraltar,0,0,1,1735,1079,0.9776043775,0.0223956225
Romania,Greece,1,1,1,1689,1592,0.6360768997,0.3639231003
Iceland,Croatia,0,2,0,1728,1826,0.3625916233,0.6374083767
Netherlands,Colombia,0,0,1,1903,1933,0.456933508,0.543066492
Sweden,Portugal,2,3,0,1710,1874,0.2800809941,0.7199190059
Austria,United States,1,0,0,1688,1747,0.4158990412,0.5841009588
Poland,Rep. of Ireland,0,0,1,1794,#N/A,#N/A,#N/A
France,Ukraine,3,0,0,1953,1714,0.7983147442,0.2016852558
England,Germany,0,1,0,1889,2033,0.3038712296,0.6961287704
Japan,Belgium,3,2,0,1739,1924,0.256365478,0.743634522
South Africa,Spain,1,0,0,1601,1918,0.1388590643,0.8611409357
