Belgium,1,1494,4,1417,11,1098,20,868
Argentina,2,1455,2,1538,3,1251,3,1290
Spain,3,1370,9,1142,1,1507,1,1606
Germany,4,1347,1,1725,2,1318,2,1437
Chile,5,1269,14,1016,15,1005,30,774
Brazil,6,1251,6,1316,10,1102,18,946
Portugal,7,1219,7,1160,5,1172,7,1144
Colombia,8,1211,3,1450,4,1200,5,1164
England,9,1106,13,1032,13,1041,6,1151
Austria,10,1091,23,863,47,648,68,492
Uruguay,11,1074,10,1135,6,1132,16,975
Switzerland,12,1050,12,1091,8,1113,13,1004
Ecuador,13,1040,26,852,23,852,12,1007
Netherlands,14,994,5,1374,9,1106,8,1124
Italy,15,991,11,1103,7,1120,4,1165
Romania,16,980,15,1014,33,734,33,700
Wales,17,974,34,748,55,574,81,435
Croatia,18,958,19,946,16,971,10,1064
Côte d'Ivoire,19,950,28,833,17,912,14,996
Hungary,20,945,45,632,46,668,32,750
Turkey,21,933,48,604,45,677,40,627
Bosnia & Herzegovina,22,905,29,817,19,899,26,788
Mexico,23,898,20,913,21,892,15,994
Russia,24,895,31,789,22,870,9,1070
France,25,868,7,1160,20,893,17,949
Slovakia,26,860,21,891,60,557,44,595
Czech Republic,26,860,17,987,28,766,29,781
Algeria,28,845,18,948,27,792,22,829
Ukraine,29,842,25,854,18,907,44,595
North. Ireland,30,825,47,615,90,381,#N/A,#N/A
Rep. of Ireland,31,810,65,519,67,528,41,609
United States,32,784,27,836,14,1019,28,782
Ghana,33,776,37,714,24,851,26,788
Sweden,34,771,44,646,26,793,19,870
Poland,35,769,41,680,77,461,56,555
Iceland,36,761,33,761,49,624,89,392
Costa Rica,37,759,16,995,32,743,66,515
Albania,38,746,58,543,56,571,63,518
Cape Verde Islands,39,745,40,693,35,726,70,486
Tunisia,40,711,22,873,44,689,53,570
Greece,41,706,24,856,12,1055,11,1033
Denmark,42,685,30,804,25,831,23,819
Iran,43,672,51,588,34,727,60,537
Finland,44,663,70,468,66,539,84,431
Senegal,45,661,35,734,68,526,79,439
Paraguay,46,652,76,442,51,607,35,682
Peru,47,64,53,565,42,698,43,603
Congo,48,638,61,529,85,421,109,325
Guinea,49,624,39,706,61,555,61,527
Trinidad and Tobago,50,623,55,551,78,441,71,483
Korea Republic,51,617,69,487,53,581,34,687
Scotland,52,609,36,729,37,717,69,490
Japan,53,607,54,563,48,641,21,834
Norway,54,591,67,500,59,558,24,810
Jamaica,55,590,75,449,81,439,58,552
Serbia,55,590,38,713,30,752,37,659
Cameroon,57,58,42,665,50,616,67,500
Egypt,58,585,60,531,31,748,54,566
Australia,59,583,100,329,56,571,36,674
Congo DR,60,580,57,548,81,439,101,355
Slovenia,61,565,46,622,29,762,47,591
Uganda,62,553,77,441,87,413,81,435
Mali,63,552,49,603,40,703,25,807
United Arab Emirates,64,547,80,408,63,548,103,346
Panama,65,544,55,551,36,722,46,594
Nigeria,66,540,43,654,41,701,52,573
Zambia,67,516,50,594,69,519,39,646
Belarus,68,514,99,331,83,431,65,516
Equatorial Guinea,69,504,118,260,108,309,73,469
Bolivia,70,500,84,375,69,519,41,609
Israel,71,498,32,788,63,548,76,454
Bulgaria,72,494,66,506,74,486,50,585
Uzbekistan,73,489,71,464,65,546,56,555
South Africa,74,486,52,587,54,576,85,423
Saudi Arabia,75,474,102,318,73,487,118,277
Morocco,76,469,82,393,74,486,74,461
Gabon,77,468,62,527,85,421,49,588
Benin,78,458,89,359,99,335,93,384
Haiti,79,453,73,458,79,440,38,650
Cyprus,80,441,86,372,125,229,131,248
Libya,81,427,78,437,62,552,47,591
China PR,82,413,96,339,92,376,86,415
Venezuela,83,412,87,370,39,715,55,561
Qatar,84,40,92,347,101,333,106,331
Montenegro,85,403,59,537,52,594,31,756
Jordan,86,398,93,346,72,504,95,375
Iraq,87,395,114,269,115,280,89,392
Canada,88,388,112,287,111,291,64,517
Burkina Faso,89,385,64,523,58,566,92,389
Estonia,90,379,83,382,93,366,83,433
Rwanda,91,375,68,494,130,19,137,236
Antigua and Barbuda,92,371,95,344,144,164,115,293
Guatemala,93,368,73,458,112,286,87,412
Togo,93,368,62,527,71,509,77,451
Botswana,95,363,106,308,97,354,124,264
Faroe Islands,96,357,103,317,170,87,153,151
Nicaragua,96,357,173,75,159,137,145,192
Honduras,98,349,72,460,43,692,59,543
El Salvador,99,344,90,358,88,395,96,374
Oman,99,344,93,346,79,440,108,328
Kenya,101,339,117,262,109,304,127,256
Latvia,102,338,96,339,116,272,104,334
Niger,103,337,119,259,104,318,97,371
Liberia,103,337,115,268,97,354,111,312
Angola,105,333,81,404,89,384,78,443
Malawi,106,32,88,361,117,265,114,299
Kyrgyzstan,107,324,152,146,146,155,198,20
Zimbabwe,108,322,107,301,105,312,102,35
Mozambique,109,316,98,332,120,256,113,308
Burundi,110,307,128,227,124,230,104,334
Central African Republic,111,302,145,178,107,310,51,581
Mauritania,111,302,138,213,145,161,206,3
Korea DPR,113,301,150,157,135,188,99,363
Chad,113,301,146,172,164,116,141,212
Aruba,115,298,129,221,170,87,151,163
Azerbaijan,116,296,136,215,94,363,118,277
Turkmenistan,117,294,147,166,133,195,129,254
Ethiopia,118,291,109,294,95,361,110,316
St. Kitts and Nevis,119,289,120,258,150,150,121,271
Georgia,120,286,126,239,102,330,72,481
Armenia,121,285,79,436,38,716,75,457
Bahrain,121,285,110,292,110,299,117,282
Sierra Leone,121,285,85,374,76,464,62,526
Thailand,121,285,144,182,148,153,138,228
Syria,125,278,151,156,135,188,136,237
Tanzania,126,277,104,315,118,261,124,264
Lithuania,127,274,91,355,103,326,116,284
Belize,128,273,175,74,152,146,164,110
Madagascar,129,272,147,166,187,33,179,55
Sudan,130,271,108,296,119,258,100,361
Palestine,131,267,115,268,142,174,152,154
Kazakhstan,132,266,139,205,128,21,142,200
Swaziland,133,265,164,113,186,37,178,61
Namibia,133,265,111,291,125,229,126,259
Philippines,135,264,129,221,127,219,147,176
Cuba,136,259,113,271,100,334,88,399
Hong Kong,136,259,156,134,137,185,163,111
FYR Macedonia,138,257,101,327,84,425,80,436
South Sudan,139,246,189,43,201,10,198,20
Lebanon,140,245,122,251,123,236,130,253
Kuwait,141,242,125,241,106,311,120,276
Luxembourg,142,237,127,230,122,243,148,172
St. Vincent and the Grenadines,143,221,121,256,155,142,123,266
St. Lucia,144,216,140,202,146,155,149,168
Barbados,145,214,143,183,166,101,143,197
Vietnam,146,209,133,218,143,166,134,242
Guinea-Bissau,147,207,133,218,184,42,174,66
Singapore,148,196,157,133,149,152,154,146
Tajikistan,148,196,136,215,113,285,135,240
Curaçao,150,192,158,125,178,65,177,65
New Zealand,150,192,135,216,91,378,91,390
Lesotho,152,186,124,245,138,184,160,127
Afghanistan,153,183,142,190,138,184,186,39
Moldova,154,172,123,250,96,359,128,255
São Tomé e Príncipe,155,170,170,84,160,126,133,243
Guam,156,169,161,119,162,123,181,53
Maldives,157,159,131,220,163,120,159,130
Myanmar,158,155,141,200,129,204,162,114
Bermuda,159,154,179,55,175,83,157,139
Dominican Republic,160,150,105,310,114,282,94,378
Guyana,161,144,167,92,151,149,122,267
Malta,162,143,147,166,130,198,146,178
India,163,139,171,79,156,141,166,100
Grenada,163,139,155,137,134,194,139,222
Gambia,165,135,168,90,138,184,143,197
Liechtenstein,165,135,132,219,156,141,154,146
American Samoa,167,128,200,12,196,18,193,30
Cook Islands,167,128,206,4,205,5,200,16
Samoa,167,128,192,30,183,45,173,74
Timor-Leste,170,127,185,51,190,26,182,52
Malaysia,171,126,154,139,154,143,158,134
Mauritius,172,120,190,36,177,66,202,13
Puerto Rico,172,120,161,119,156,141,131,248
Comoros,174,119,173,75,198,17,194,29
Yemen,175,114,176,67,180,50,165,106
Dominica,176,107,184,52,167,95,161,124
US Virgin Islands,177,88,197,16,193,23,186,39
Laos,177,88,160,121,153,144,170,83
Bangladesh,179,87,165,103,164,116,168,90
Indonesia,180,84,159,122,161,124,156,145
Cambodia,181,83,179,55,189,28,184,50
Chinese Taipei,182,80,182,54,167,95,172,82
New Caledonia,182,80,153,142,121,24,107,330
Brunei Darussalam,184,74,198,15,190,26,182,52
Pakistan,185,72,188,45,172,86,189,37
Fiji,186,6,192,30,182,47,169,8
Montserrat,187,67,169,86,187,3,174,6
Sri Lanka,188,61,172,78,169,90,190,36
Suriname,189,57,163,115,132,197,112,311
Seychelles,190,56,178,61,176,67,195,24
Tahiti,190,56,166,100,141,179,140,215
Bhutan,192,49,209,0,207,0,207,0
Vanuatu,193,47,191,33,179,53,167,99
Macau,194,44,186,49,201,10,197,23
Cayman Islands,195,42,205,5,194,21,192,3
Nepal,196,41,186,49,172,86,170,83
Turks and Caicos Islands,197,3,177,6,#N/A,#N/A,#N/A,#N/A
San Marino,198,28,179,55,207,0,207,0
British Virgin Islands,199,27,202,8,196,18,191,34
Solomon Islands,200,26,183,53,172,86,150,166
Mongolia,201,6,194,29,181,49,179,55
Andorra,201,6,201,9,198,17,203,11
Papua New Guinea,203,4,199,13,194,21,188,38
Anguilla,204,0,208,2,206,3,205,4
Bahamas,204,0,195,26,185,40,174,6
Djibouti,204,0,206,4,204,6,203,11
Eritrea,204,0,202,8,200,11,195,24
Somalia,204,0,204,6,203,8,201,14
Tonga,204,0,196,1,190,26,185,44
